id;priorite;created_at;updated_at
1;ELEVEE;2026-02-05T08:04:31;2026-02-05T02:05:13
2;NORMALE;2026-02-05T12:12:15;2026-02-05T10:28:30
3;NORMALE;2026-02-04T23:04:26;2026-02-05T09:08:43
4;BASSE;2026-02-05T12:52:20;2026-02-04T17:17:17
5;ELEVEE;2026-02-04T23:29:35;2026-02-05T17:04:10
6;BASSE;2026-02-04T17:30:01;2026-02-05T14:38:48
7;ELEVEE;2026-02-04T19:29:35;2026-02-05T14:37:00
8;BASSE;2026-02-05T01:24:43;2026-02-04T23:30:11
9;NORMALE;2026-02-05T12:08:43;2026-02-05T12:49:22
10;NORMALE;2026-02-05T13:53:55;2026-02-05T11:24:10
