id;origin;destination;aller_retour;prix;created_at;updated_at
1;"FLE";"EEV";true;23706.66;2026-02-05T06:06:33;2026-02-04T17:50:51
2;"ZUN";"GLP";true;23755.5;2026-02-04T19:07:52;2026-02-05T14:24:02
3;"OIA";"NMP";true;201;2026-02-05T04:56:48;2026-02-05T13:52:14
4;"OIN";"LOY";true;14027.9;2026-02-05T16:11:40;2026-02-05T13:31:22
5;"BSF";"RUH";false;21182.99;2026-02-05T06:26:13;2026-02-04T19:24:20
6;"SYS";"NNY";true;20245.37;2026-02-05T01:49:06;2026-02-05T01:47:01
7;"HAV";"NYX";false;18905.02;2026-02-05T02:07:59;2026-02-05T09:30:47
8;"UAB";"FLZ";true;11723.5;2026-02-05T16:57:14;2026-02-05T12:09:59
9;"CYN";"JMJ";true;28223.76;2026-02-05T10:16:54;2026-02-05T05:24:56
10;"RJK";"IWP";true;2986.71;2026-02-05T07:14:45;2026-02-04T17:04:37
